"Gate","Result","Evidence"
"Raw data present","PASS","Files checked: 7"
"Matched main sample is at least 30 years","PASS","1995-05-01 to 2026-03-01 (30.92 years after controls)"
"One common monthly timeline","PASS","1994-04-01 to 2026-03-01 for WPI, Brent, and INR/USD"
"All-sample six-month response is positive and significant","PASS","h=6 estimate=0.296251, p=<0.001"
"All-sample twelve-month response is positive","PASS","h=12 estimate=0.346082, p=<0.001"
"Post-2010 state-dependence check","PASS","h=6 interaction estimate=0.197194, p=0.0220"
"Post-2014 robustness is reported without overclaiming","REPORTED_NOT_GATE","h=6 interaction estimate=0.098807, p=0.2809; kept as robustness, not a headline claim"
"Horizon-0 state-dependent functional-form diagnostic","PASS","State-dependent HAC RESET p=0.3592; simple all-sample RESET is reported separately as motivation"
"Serial-correlation robustness check","PASS","GLS AR(1) normalized residual Ljung-Box p=0.9974; HAC inference used for main LP estimates"
"Asymmetry kept secondary","PASS","Positive/negative split is reported only as a secondary robustness table"
